"dive number","date","time","sample time (min)","sample depth (m)","sample temperature (C)","sample pressure (bar)","sample heartrate"
"28","2025-07-05","15:32:55","26:40","7.9",,,
"28","2025-07-05","15:32:55","26:50","7.9",,,
"28","2025-07-05","15:32:55","27:00","8.1",,,
"28","2025-07-05","15:32:55","27:10","8.1",,,
"28","2025-07-05","15:32:55","27:20","7.1",,,
"28","2025-07-05","15:32:55","27:30","7.9",,,
"28","2025-07-05","15:32:55","27:40","8.2",,,
"28","2025-07-05","15:32:55","27:50","7.9",,,
"28","2025-07-05","15:32:55","28:00","8.3",,,
"28","2025-07-05","15:32:55","28:10","8.3",,,
"28","2025-07-05","15:32:55","28:20","8.2",,,
"28","2025-07-05","15:32:55","28:30","8.5",,,
"28","2025-07-05","15:32:55","28:40","8.4",,,
"28","2025-07-05","15:32:55","28:50","8.3",,,
"28","2025-07-05","15:32:55","29:00","8.4",,,
"28","2025-07-05","15:32:55","29:10","8.4",,,
"28","2025-07-05","15:32:55","29:20","8.5",,,
"28","2025-07-05","15:32:55","29:30","8.7",,,
"28","2025-07-05","15:32:55","29:40","8.5",,,
"28","2025-07-05","15:32:55","29:50","8",,,
"28","2025-07-05","15:32:55","30:00","8.5",,,
"28","2025-07-05","15:32:55","30:10","8.6",,,
"28","2025-07-05","15:32:55","30:20","8",,,
"28","2025-07-05","15:32:55","30:30","8",,,
"28","2025-07-05","15:32:55","30:40","7.1",,,
"28","2025-07-05","15:32:55","30:50","7.4",,,
"28","2025-07-05","15:32:55","31:00","6.7",,,
"28","2025-07-05","15:32:55","31:10","6.3",,,
"28","2025-07-05","15:32:55","31:20","5.7","18.0",,
"28","2025-07-05","15:32:55","31:30","5.9","19.0",,
"28","2025-07-05","15:32:55","31:40","5.9",,,
"28","2025-07-05","15:32:55","31:50","5.9",,,
"28","2025-07-05","15:32:55","32:00","6.1",,,
"28","2025-07-05","15:32:55","32:10","6",,,
"28","2025-07-05","15:32:55","32:20","5.9",,,
"28","2025-07-05","15:32:55","32:30","6.1",,,
"28","2025-07-05","15:32:55","32:40","5.7",,,
"28","2025-07-05","15:32:55","32:50","5.5","20.0",,
"28","2025-07-05","15:32:55","33:00","5.5",,,
"28","2025-07-05","15:32:55","33:10","5.6",,,
"28","2025-07-05","15:32:55","33:20","5.7",,,
"28","2025-07-05","15:32:55","33:30","5.6",,,
"28","2025-07-05","15:32:55","33:40","5.8",,,
"28","2025-07-05","15:32:55","33:50","5.6",,,
"28","2025-07-05","15:32:55","34:00","5.4",,,
"28","2025-07-05","15:32:55","34:10","5.5","21.0",,
"28","2025-07-05","15:32:55","34:20","5.4","20.0",,
"28","2025-07-05","15:32:55","34:30","5.2",,,
"28","2025-07-05","15:32:55","34:40","4.9","21.0",,
"28","2025-07-05","15:32:55","34:50","5.2",,,
"28","2025-07-05","15:32:55","35:00","4.7",,,
"28","2025-07-05","15:32:55","35:10","4.1",,,
"28","2025-07-05","15:32:55","35:20","4.4",,,
"28","2025-07-05","15:32:55","35:30","4.3","22.0",,
"28","2025-07-05","15:32:55","35:40","4.3",,,
"28","2025-07-05","15:32:55","35:50","4.3",,,
"28","2025-07-05","15:32:55","36:00","4",,,
"28","2025-07-05","15:32:55","36:10","5.4",,,
"28","2025-07-05","15:32:55","36:20","5.4","21.0",,
"28","2025-07-05","15:32:55","36:30","5.7",,,
"28","2025-07-05","15:32:55","36:40","5.7",,,
"28","2025-07-05","15:32:55","36:50","5.4",,,
"28","2025-07-05","15:32:55","37:00","5.7",,,
"28","2025-07-05","15:32:55","37:10","5.9",,,
"28","2025-07-05","15:32:55","37:20","5.1",,,
"28","2025-07-05","15:32:55","37:30","5.3",,,
"28","2025-07-05","15:32:55","37:40","5.2",,,
"28","2025-07-05","15:32:55","37:50","5.7",,,
"28","2025-07-05","15:32:55","38:00","5.5",,,
"28","2025-07-05","15:32:55","38:10","5.6",,,
"28","2025-07-05","15:32:55","38:20","5.2",,,
"28","2025-07-05","15:32:55","38:30","5.5",,,
"28","2025-07-05","15:32:55","38:40","5.3",,,
"28","2025-07-05","15:32:55","38:50","5.3",,,
"28","2025-07-05","15:32:55","39:00","4.7",,,
"28","2025-07-05","15:32:55","39:10","4.7",,,
"28","2025-07-05","15:32:55","39:20","4.8",,,
"28","2025-07-05","15:32:55","39:30","4.8",,,
"28","2025-07-05","15:32:55","39:40","4.8",,,
"28","2025-07-05","15:32:55","39:50","5.1",,,
"28","2025-07-05","15:32:55","40:00","4.9",,,
"28","2025-07-05","15:32:55","40:10","4.5",,,
"28","2025-07-05","15:32:55","40:20","4.5","22.0",,
"28","2025-07-05","15:32:55","40:30","4.7",,,
"28","2025-07-05","15:32:55","40:40","4.2",,,
"28","2025-07-05","15:32:55","40:50","4.2",,,
"28","2025-07-05","15:32:55","41:00","4",,,
"28","2025-07-05","15:32:55","41:10","3.7",,,
"28","2025-07-05","15:32:55","41:20","3.6",,,
"28","2025-07-05","15:32:55","41:30","3.9",,,
"28","2025-07-05","15:32:55","41:40","3.9",,,
"28","2025-07-05","15:32:55","41:50","3.3",,,
"28","2025-07-05","15:32:55","42:00","3.1",,,
"28","2025-07-05","15:32:55","42:10","2.9",,,
"28","2025-07-05","15:32:55","42:20","2.9","23.0",,
"28","2025-07-05","15:32:55","42:30","2.8",,,
"28","2025-07-05","15:32:55","42:40","2.4",,,
"28","2025-07-05","15:32:55","42:50","2",,,
"28","2025-07-05","15:32:55","43:00","1.8",,,
"28","2025-07-05","15:32:55","43:10","1.1",,,
"28","2025-07-05","15:32:55","43:20","1",,,
"28","2025-07-05","15:32:55","43:30","0",,,
"28","2025-07-05","15:32:55","43:40","0",,,
"28","2025-07-05","15:32:55","43:50","0",,,
"28","2025-07-05","15:32:55","44:00","0",,,
"28","2025-07-05","15:32:55","44:10","0",,,
"28","2025-07-05","15:32:55","44:20","0",,,
